Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2019-09-30;1726.99;1737.46;1709.22;1735.91;2644700;0;0
2019-10-01;1746.0;1755.6;1728.41;1735.65;3084500;0;0
2019-10-02;1727.74;1728.89;1705.0;1713.23;3301100;0;0
2019-10-03;1713.0;1725.0;1685.06;1724.42;3468200;0;0
2019-10-04;1726.02;1740.58;1719.23;1739.65;2471900;0;0
2019-10-07;1731.63;1747.83;1723.7;1732.66;2154700;0;0
2019-10-08;1722.49;1727.0;1705.0;1705.51;2542000;0;0
2019-10-09;1719.61;1729.95;1714.36;1721.99;2043500;0;0
2019-10-10;1725.24;1738.29;1713.75;1720.26;2575200;0;0
2019-10-11;1742.92;1745.45;1729.86;1731.92;3255000;0;0
2019-10-14;1728.91;1741.89;1722.0;1736.43;1910200;0;0
2019-10-15;1742.14;1776.45;1740.62;1767.38;3111700;0;0
2019-10-16;1773.33;1786.24;1770.52;1777.43;2763400;0;0
2019-10-17;1796.49;1798.85;1782.02;1787.48;2647400;0;0
2019-10-18;1787.8;1793.98;1749.2;1757.51;3362500;0;0
2019-10-21;1769.66;1785.88;1765.0;1785.66;2130400;0;0
2019-10-22;1788.15;1789.78;1762.0;1765.73;2111700;0;0
2019-10-23;1761.3;1770.05;1742.0;1762.17;2138200;0;0
2019-10-24;1771.09;1788.34;1760.27;1780.78;4446100;0;0
2019-10-25;1697.55;1764.21;1695.0;1761.33;9626400;0;0
2019-10-28;1748.06;1778.7;1742.5;1777.08;3708900;0;0
2019-10-29;1774.81;1777.0;1755.81;1762.71;2276900;0;0
2019-10-30;1760.24;1782.38;1759.12;1779.99;2449400;0;0
2019-10-31;1775.99;1792.0;1771.48;1776.66;2781200;0;0
2019-11-01;1788.01;1797.45;1785.21;1791.44;2790400;0;0
2019-11-04;1801.01;1815.06;1801.01;1804.66;2771900;0;0
2019-11-05;1809.16;1810.25;1794.0;1801.71;1885500;0;0
2019-11-06;1801.0;1802.5;1788.58;1795.77;2029800;0;0
2019-11-07;1803.76;1805.9;1783.48;1788.2;2651100;0;0
2019-11-08;1787.89;1789.88;1774.04;1785.88;2123300;0;0
2019-11-11;1778.0;1780.0;1767.13;1771.65;1946000;0;0
2019-11-12;1774.66;1786.22;1771.91;1778.0;2037600;0;0
2019-11-13;1773.39;1775.0;1747.32;1753.11;2989500;0;0
2019-11-14;1751.43;1766.59;1749.56;1754.6;2264800;0;0
2019-11-15;1760.05;1761.68;1732.86;1739.49;3927600;0;0
2019-11-18;1738.3;1753.7;1722.71;1752.53;2839500;0;0
2019-11-19;1756.99;1760.68;1743.03;1752.79;2270800;0;0
2019-11-20;1749.14;1762.52;1734.12;1745.53;2790000;0;0
2019-11-21;1743.0;1746.87;1730.36;1734.71;2662900;0;0
2019-11-22;1739.02;1746.43;1731.0;1745.72;2479100;0;0
2019-11-25;1753.25;1777.42;1753.24;1773.84;3486200;0;0
2019-11-26;1779.92;1797.03;1778.35;1796.94;3181200;0;0
2019-11-27;1801.0;1824.5;1797.31;1818.51;3025600;0;0
2019-11-29;1817.78;1824.69;1800.79;1800.8;1923400;0;0
2019-12-02;1804.4;1805.55;1762.68;1781.6;3925600;0;0
2019-12-03;1760.0;1772.87;1747.23;1769.96;3380900;0;0
2019-12-04;1774.01;1789.09;1760.22;1760.69;2670100;0;0
2019-12-05;1763.5;1763.5;1740.0;1740.48;2823800;0;0
2019-12-06;1751.2;1754.4;1740.13;1751.6;3117400;0;0
2019-12-09;1750.66;1766.89;1745.61;1749.51;2442800;0;0
2019-12-10;1747.4;1750.67;1735.0;1739.21;2514300;0;0
2019-12-11;1741.67;1750.0;1735.71;1748.72;2097600;0;0
2019-12-12;1750.0;1764.0;1745.44;1760.33;3095900;0;0
2019-12-13;1765.0;1768.99;1755.0;1760.94;2745700;0;0
2019-12-16;1767.0;1769.5;1757.05;1769.21;3145200;0;0
2019-12-17;1778.01;1792.0;1777.39;1790.66;3644400;0;0
2019-12-18;1795.02;1798.2;1782.36;1784.03;3351400;0;0
2019-12-19;1780.5;1792.99;1774.06;1792.28;2652800;0;0
2019-12-20;1799.62;1802.97;1782.45;1786.5;5150800;0;0
2019-12-23;1788.26;1793.0;1784.51;1793.0;2136400;0;0
2019-12-24;1793.81;1795.57;1787.58;1789.21;881300;0;0
2019-12-26;1801.01;1870.46;1799.5;1868.77;6005400;0;0
2019-12-27;1882.92;1901.4;1866.01;1869.8;6186600;0;0
2019-12-30;1874.0;1884.0;1840.62;1846.89;3674700;0;0
2019-12-31;1842.0;1853.26;1832.23;1847.84;2506500;0;0
2020-01-02;1875.0;1898.01;1864.15;1898.01;4029000;0;0
2020-01-03;1864.5;1886.2;1864.5;1874.97;3764400;0;0
2020-01-06;1860.0;1903.69;1860.0;1902.88;4061800;0;0
2020-01-07;1904.5;1913.89;1892.04;1906.86;4044900;0;0
2020-01-08;1898.04;1911.0;1886.44;1891.97;3508000;0;0
2020-01-09;1909.89;1917.82;1895.8;1901.05;3167300;0;0
2020-01-10;1905.37;1906.94;1880.0;1883.16;2853700;0;0
2020-01-13;1891.31;1898.0;1880.8;1891.3;2780800;0;0
2020-01-14;1885.88;1887.11;1858.55;1869.44;3440900;0;0
