Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2019-09-30;115.47;115.87;114.36;114.82;9755000;0.0;0
2019-10-01;115.51;116.09;112.59;112.73;11250300;0.0;0
2019-10-02;112.01;112.09;110.17;110.49;12548700;0.0;0
2019-10-03;110.41;111.04;108.69;110.33;12735200;0.9;0
2019-10-04;110.48;113.03;110.41;112.72;9453100;0.0;0
2019-10-07;112.29;113.58;112.18;112.47;6771600;0.0;0
2019-10-08;111.18;111.18;109.81;109.96;10806300;0.0;0
2019-10-09;110.8;111.28;110.21;110.76;7273700;0.0;0
2019-10-10;111.26;113.48;111.12;112.31;10994100;0.0;0
2019-10-11;114.1;116.03;113.95;114.21;15076500;0.0;0
2019-10-14;113.93;114.93;113.74;114.52;8779000;0.0;0
2019-10-15;116.88;119.57;115.91;117.97;23379000;0.0;0
2019-10-16;117.97;118.62;117.4;117.69;11087700;0.0;0
2019-10-17;118.75;119.55;117.89;118.35;10818500;0.0;0
2019-10-18;118.01;119.01;117.87;118.56;10417400;0.0;0
2019-10-21;120.02;121.72;119.97;121.5;12714600;0.0;0
2019-10-22;121.4;123.02;121.08;122.72;12549100;0.0;0
2019-10-23;122.14;123.07;122.11;123.04;8828300;0.0;0
2019-10-24;123.21;123.57;122.01;122.95;8020500;0.0;0
2019-10-25;122.93;124.55;122.68;123.94;9055700;0.0;0
2019-10-28;124.47;125.1;124.3;124.41;9522200;0.0;0
2019-10-29;123.97;125.31;123.85;124.33;9797300;0.0;0
2019-10-30;123.96;124.16;122.85;123.64;8513300;0.0;0
2019-10-31;123.41;123.64;121.8;122.85;11589000;0.0;0
2019-11-01;124.11;125.87;123.93;125.68;11682600;0.0;0
2019-11-04;126.94;127.27;126.43;126.68;9159900;0.0;0
2019-11-05;127.24;128.14;126.7;126.96;13747600;0.0;0
2019-11-06;126.55;127.68;126.45;127.15;11231100;0.0;0
2019-11-07;128.27;129.11;127.76;127.84;13528900;0.0;0
2019-11-08;127.72;128.24;127.1;128.22;9293400;0.0;0
2019-11-11;127.45;127.94;127.2;127.76;8679000;0.0;0
2019-11-12;127.48;128.45;126.87;127.02;9099000;0.0;0
2019-11-13;126.0;126.68;125.31;126.35;8023300;0.0;0
2019-11-14;125.6;126.7;125.47;126.47;8483400;0.0;0
2019-11-15;127.09;127.38;126.27;127.38;10163600;0.0;0
2019-11-18;127.41;128.48;126.85;128.45;8749300;0.0;0
2019-11-19;128.82;129.07;128.02;128.41;8824500;0.0;0
2019-11-20;128.14;128.45;126.8;127.48;11782800;0.0;0
2019-11-21;127.84;128.55;127.24;127.77;7705100;0.0;0
2019-11-22;127.99;129.04;127.94;128.62;8167900;0.0;0
2019-11-25;129.07;129.88;128.7;129.31;10068500;0.0;0
2019-11-26;129.63;129.63;128.2;129.48;10490700;0.0;0
2019-11-27;130.09;130.23;129.46;129.87;6607900;0.0;0
2019-11-29;129.68;130.21;129.27;129.57;5712000;0.0;0
2019-12-02;130.11;130.54;129.17;129.29;8615600;0.0;0
2019-12-03;127.62;127.8;126.46;127.63;10361300;0.0;0
2019-12-04;128.22;130.27;127.83;130.14;10318200;0.0;0
2019-12-05;130.48;131.1;129.99;130.85;9587400;0.0;0
2019-12-06;132.45;133.53;132.42;132.8;10170600;0.0;0
2019-12-09;132.4;133.21;132.18;132.18;8498200;0.0;0
2019-12-10;131.04;132.53;130.67;132.27;7532900;0.0;0
2019-12-11;132.06;132.78;131.79;131.95;9011900;0.0;0
2019-12-12;132.26;136.17;131.98;135.73;13717400;0.0;0
2019-12-13;135.66;136.53;133.96;134.54;10592100;0.0;0
2019-12-16;136.08;136.54;135.04;135.06;11372000;0.0;0
2019-12-17;135.44;136.37;134.95;135.89;11546800;0.0;0
2019-12-18;135.86;136.71;135.43;135.75;10381500;0.0;0
2019-12-19;135.47;135.93;134.82;135.07;9350400;0.0;0
2019-12-20;135.73;136.57;134.63;134.96;29992600;0.0;0
2019-12-23;135.32;135.62;134.61;134.92;9738400;0.0;0
2019-12-24;135.05;135.35;134.79;135.3;3324300;0.0;0
2019-12-26;135.6;136.79;135.49;136.73;6770900;0.0;0
2019-12-27;136.99;137.45;136.37;136.83;7868200;0.0;0
2019-12-30;137.58;137.75;136.17;136.33;6963000;0.0;0
2019-12-31;136.21;137.16;135.99;137.09;7201600;0.0;0
2020-01-02;137.47;138.76;136.95;138.75;10803700;0.0;0
2020-01-03;136.09;137.8;135.67;136.92;10386800;0.9;0
2020-01-06;135.16;136.85;135.1;136.81;10259000;0.0;0
2020-01-07;135.87;136.44;134.42;134.48;10531300;0.0;0
2020-01-08;134.3;136.17;134.21;135.53;9695300;0.0;0
2020-01-09;136.63;136.81;135.63;136.03;9469000;0.0;0
2020-01-10;135.8;135.84;134.41;134.67;10190900;0.0;0
2020-01-13;134.79;135.79;134.36;135.79;12355200;0.0;0
2020-01-14;136.52;139.31;136.27;137.37;24906000;0.0;0
2020-01-15;136.43;137.17;134.75;135.31;16293400;0.0;0
2020-01-16;136.04;136.48;135.43;135.84;10783800;0.0;0
2020-01-17;136.13;136.87;135.91;136.78;14697700;0.0;0
2020-01-21;135.78;136.65;135.28;135.43;8474200;0.0;0
2020-01-22;135.83;135.99;134.98;135.27;7549100;0.0;0
2020-01-23;134.31;135.33;133.33;135.14;9345700;0.0;0
2020-01-24;134.97;135.03;130.96;131.78;15166400;0.0;0
2020-01-27;128.93;131.57;128.38;130.67;12860500;0.0;0
2020-01-28;131.47;133.58;131.12;133.05;13062800;0.0;0
2020-01-29;133.42;134.15;132.32;132.85;9326000;0.0;0
2020-01-30;131.33;134.73;131.33;134.49;9048900;0.0;0
2020-01-31;133.11;133.44;130.12;131.0;12785200;0.0;0
2020-02-03;131.3;132.86;131.3;132.0;10021100;0.0;0
2020-02-04;134.16;135.2;133.69;133.9;9157100;0.0;0
2020-02-05;135.17;136.31;134.61;136.17;10150700;0.0;0
2020-02-06;136.82;136.87;135.7;136.19;8992300;0.0;0
2020-02-07;135.32;136.25;134.9;135.76;6379800;0.0;0
2020-02-10;135.54;136.43;135.34;136.32;5960700;0.0;0
2020-02-11;136.84;137.39;136.36;136.58;6578600;0.0;0
2020-02-12;137.17;137.86;136.38;136.58;7958000;0.0;0
2020-02-13;136.33;136.92;135.0;136.46;7447500;0.0;0
2020-02-14;136.42;136.77;135.53;136.05;6627600;0.0;0
2020-02-18;135.93;136.29;133.66;134.25;8996400;0.0;0
2020-02-19;135.5;136.97;134.94;136.08;7071200;0.0;0
2020-02-20;135.76;136.94;135.13;136.08;7422800;0.0;0
2020-02-21;135.15;135.51;133.53;134.41;9772800;0.0;0
2020-02-24;130.09;131.83;129.45;130.8;13618400;0.0;0
2020-02-25;129.65;130.87;124.3;124.96;20797200;0.0;0
2020-02-26;125.62;127.62;125.04;125.34;24825600;0.0;0
2020-02-27;121.65;124.33;120.05;120.12;22997200;0.0;0
2020-02-28;116.31;117.27;111.5;114.92;45942600;0.0;0
2020-03-02;115.43;120.33;113.28;120.27;27355400;0.0;0
2020-03-03;119.73;121.69;115.04;115.76;32547700;0.0;0
2020-03-04;117.11;118.95;113.52;118.62;25795900;0.0;0
2020-03-05;114.48;115.23;111.42;112.8;25025600;0.0;0
2020-03-06;105.17;109.19;103.94;106.97;38159400;0.0;0
2020-03-09;95.58;98.21;92.04;92.48;40352000;0.0;0
2020-03-10;97.98;100.24;93.61;99.66;31102700;0.0;0
2020-03-11;96.7;99.02;93.58;94.97;38127000;0.0;0
2020-03-12;88.67;95.96;85.43;87.14;49725200;0.0;0
2020-03-13;95.0;102.92;91.05;102.84;38543300;0.0;0
2020-03-16;84.32;93.01;83.68;87.45;38589700;0.0;0
2020-03-17;89.96;96.44;86.6;92.8;35239800;0.0;0
2020-03-18;86.77;89.86;79.53;83.03;41525600;0.0;0
2020-03-19;80.72;87.2;76.12;84.42;32175100;0.0;0
2020-03-20;85.41;88.54;81.63;82.64;30150800;0.0;0
2020-03-23;81.83;82.89;77.29;78.22;32536600;0.0;0
2020-03-24;84.03;89.17;82.05;87.52;34363200;0.0;0
2020-03-25;88.32;94.17;83.67;90.79;38111700;0.0;0
2020-03-26;93.11;97.56;92.58;97.11;29826300;0.0;0
2020-03-27;92.23;93.86;89.62;90.19;30041500;0.0;0
2020-03-30;89.72;93.12;88.38;92.54;21656900;0.0;0
2020-03-31;91.1;93.2;88.42;89.1;23379300;0.0;0
2020-04-01;84.22;85.67;82.39;83.49;28029600;0.0;0
2020-04-02;82.65;87.01;82.11;86.61;24018000;0.0;0
2020-04-03;86.0;87.48;82.77;84.05;21199400;0.9;0
2020-04-06;88.99;90.99;87.7;89.46;26820800;0.0;0
2020-04-07;94.45;94.5;90.38;90.64;22563800;0.0;0
2020-04-08;92.1;94.86;90.55;94.3;22903300;0.0;0
2020-04-09;96.92;104.39;96.89;102.76;42084700;0.0;0
2020-04-13;103.11;103.11;97.3;98.19;26911900;0.0;0
2020-04-14;101.02;102.0;93.64;95.5;46151300;0.0;0
2020-04-15;91.15;92.03;90.13;90.79;30118600;0.0;0
2020-04-16;90.23;90.57;87.05;87.33;32449600;0.0;0
2020-04-17;92.0;95.7;90.96;95.18;30191900;0.0;0
2020-04-20;92.47;94.71;90.46;91.71;23679400;0.0;0
2020-04-21;88.62;91.38;88.33;89.05;23035000;0.0;0
2020-04-22;90.69;91.87;89.18;89.34;16706000;0.0;0
2020-04-23;89.74;91.28;89.26;89.39;16638800;0.0;0
2020-04-24;90.64;91.1;88.49;90.71;15815300;0.0;0
2020-04-27;91.94;95.63;91.54;94.62;22870200;0.0;0
2020-04-28;97.81;98.36;95.03;95.29;20238900;0.0;0
2020-04-29;99.08;99.45;97.27;97.86;20462600;0.0;0
2020-04-30;95.6;96.84;94.55;95.76;19104600;0.0;0
2020-05-01;93.5;93.74;91.84;93.25;18547700;0.0;0
2020-05-04;92.02;92.67;90.8;92.14;15725900;0.0;0
2020-05-05;93.65;94.21;91.9;92.0;18064100;0.0;0
