Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2019-09-30;133.18;134.81;132.99;134.19;3705200;0.0;0
2019-10-01;134.03;135.01;133.2;134.46;3638900;0.0;0
2019-10-02;133.99;134.47;130.66;131.1;5728600;0.0;0
2019-10-03;135.5;136.79;133.6;135.0;8829700;0.0;0
2019-10-04;134.92;137.47;134.7;137.3;5278700;0.0;0
2019-10-07;136.34;136.65;135.04;135.41;4273300;0.0;0
2019-10-08;134.73;135.51;134.17;134.33;4074900;0.0;0
2019-10-09;134.41;135.24;133.93;134.93;3065300;0.0;0
2019-10-10;134.2;135.32;133.74;134.96;2191000;0.0;0
2019-10-11;135.15;135.76;134.18;134.72;2761400;0.0;0
2019-10-14;134.92;135.37;134.33;134.53;2371500;0.0;0
2019-10-15;134.56;135.02;133.27;133.44;3369300;0.0;0
2019-10-16;133.25;133.59;132.7;133.53;2812000;0.0;0
2019-10-17;134.16;134.7;133.7;134.05;2322500;0.0;0
2019-10-18;134.36;134.46;133.34;133.36;3630400;0.0;0
2019-10-21;133.45;133.84;132.78;133.23;2829400;0.0;0
2019-10-22;133.75;134.44;133.42;133.76;3248100;0.0;0
2019-10-23;133.71;134.58;133.71;134.53;2323600;0.0;0
2019-10-24;134.78;135.18;133.89;134.96;2292500;0.0;0
2019-10-25;134.86;134.99;133.34;133.74;2520000;0.0;0
2019-10-28;133.65;134.63;133.26;133.67;3212600;0.0;0
2019-10-29;133.93;134.21;133.06;133.19;2550100;0.0;0
2019-10-30;132.98;134.38;132.54;134.0;2653400;0.0;0
2019-10-31;133.9;134.61;133.21;134.26;4492300;0.0;0
2019-11-01;134.63;135.41;133.8;134.03;3054900;0.0;0
2019-11-04;133.9;134.19;131.87;132.29;3202400;0.0;0
2019-11-05;131.97;132.23;129.79;131.17;4300800;0.0;0
2019-11-06;131.65;132.02;130.72;131.59;3645600;0.0;0
2019-11-07;131.56;131.65;130.3;130.49;3338700;0.0;0
2019-11-08;130.46;131.28;129.76;130.31;2604000;0.0;0
2019-11-11;130.21;130.21;129.17;129.58;2227200;0.0;0
2019-11-12;129.87;129.87;128.8;129.18;3246500;0.0;0
2019-11-13;129.82;130.74;129.21;130.46;3166600;0.0;0
2019-11-14;130.77;131.07;129.91;130.5;2141900;0.0;0
2019-11-15;130.82;131.08;129.98;130.97;3648700;0.0;0
2019-11-18;131.16;132.81;131.07;131.22;3619700;0.0;0
2019-11-19;131.79;132.19;131.23;131.72;3019100;0.0;0
2019-11-20;131.46;132.33;130.57;130.9;3047700;0.0;0
2019-11-21;130.6;131.36;130.27;131.07;3391200;0.0;0
2019-11-22;131.08;131.68;130.2;131.23;3014900;0.0;0
2019-11-25;131.8;131.92;130.38;130.99;3612400;0.0;0
2019-11-26;131.44;132.99;131.03;132.82;4947400;0.0;0
2019-11-27;132.82;133.62;132.46;133.03;2476100;0.0;0
2019-11-29;133.17;133.53;132.39;132.95;2978400;0.0;0
2019-12-02;133.75;133.75;131.59;133.0;3866300;0.0;0
2019-12-03;133.76;133.76;131.47;132.59;5000000;0.0;0
2019-12-04;132.09;134.46;131.69;134.39;4228200;0.0;0
2019-12-05;134.23;134.58;133.33;134.38;3351800;0.955;0
2019-12-06;134.71;135.71;134.38;135.39;3216900;0.0;0
2019-12-09;135.18;136.06;135.03;135.19;3882900;0.0;0
2019-12-10;135.63;135.63;134.21;134.31;2940200;0.0;0
2019-12-11;135.08;135.57;134.36;135.13;3339100;0.0;0
2019-12-12;134.84;135.92;134.79;135.21;3502100;0.0;0
2019-12-13;134.96;136.27;134.23;135.96;3557900;0.0;0
2019-12-16;134.98;135.55;134.21;135.09;4701000;0.0;0
2019-12-17;135.08;135.47;133.74;134.21;5491800;0.0;0
2019-12-18;135.08;135.33;133.68;134.02;5370500;0.0;0
2019-12-19;134.26;134.78;134.0;134.51;3641700;0.0;0
2019-12-20;135.44;136.15;133.22;135.94;10311300;0.0;0
2019-12-23;135.71;136.15;134.88;135.07;2992900;0.0;0
2019-12-24;135.12;135.41;134.31;134.92;1220600;0.0;0
2019-12-26;134.9;135.37;134.15;134.73;2934700;0.0;0
2019-12-27;134.91;135.6;134.67;135.57;2554000;0.0;0
2019-12-30;134.74;135.99;134.52;134.85;3024700;0.0;0
2019-12-31;134.73;135.29;134.08;134.71;3229400;0.0;0
2020-01-02;134.9;135.26;133.2;133.87;3784100;0.0;0
2020-01-03;133.52;134.83;133.19;133.68;4000100;0.0;0
2020-01-06;133.36;134.36;133.26;134.2;4085100;0.0;0
2020-01-07;134.05;134.12;132.03;132.09;5718100;0.0;0
2020-01-08;132.53;133.42;132.15;132.77;3681400;0.0;0
2020-01-09;133.35;133.44;132.6;132.85;3954700;0.0;0
2020-01-10;133.23;133.48;132.46;132.6;3099500;0.0;0
2020-01-13;132.72;134.63;132.7;134.57;5127200;0.0;0
2020-01-14;134.22;134.97;133.75;134.89;4159700;0.0;0
2020-01-15;135.07;137.25;134.84;137.2;5002600;0.0;0
2020-01-16;137.35;138.15;136.61;137.61;4977900;0.0;0
2020-01-17;138.09;139.29;137.89;139.23;6908700;0.0;0
2020-01-21;138.59;140.08;138.33;139.82;4440000;0.0;0
2020-01-22;139.77;141.51;139.69;141.32;5366100;0.0;0
2020-01-23;141.04;141.78;140.33;141.59;3915700;0.0;0
2020-01-24;141.76;142.08;140.4;140.87;2791500;0.0;0
