Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2019-09-30;45.81;45.98;45.37;45.72;8396900;0.0;0
2019-10-01;46.2;47.07;46.2;46.42;11575200;0.0;0
2019-10-02;45.95;46.18;45.58;45.67;5785200;0.0;0
2019-10-03;45.69;46.37;45.49;46.36;6091600;0.0;0
2019-10-04;46.26;46.68;46.02;46.65;5704200;0.0;0
2019-10-07;46.95;47.37;46.66;47.17;11059000;0.0;0
2019-10-08;47.47;47.61;46.83;47.08;13089700;0.0;0
2019-10-09;47.42;48.26;47.39;47.89;11033100;0.0;0
2019-10-10;48.11;48.59;47.7;48.13;9566500;0.0;0
2019-10-11;48.65;48.98;48.53;48.62;7499100;0.0;0
2019-10-14;48.62;49.31;48.5;49.1;7974000;0.0;0
2019-10-15;49.38;49.82;49.29;49.57;9323200;0.0;0
2019-10-16;49.52;50.3;49.26;49.31;13615700;0.0;0
2019-10-17;50.31;50.38;48.46;48.94;12410200;0.0;0
2019-10-18;48.84;49.28;48.33;48.48;9169200;0.0;0
2019-10-21;48.72;49.29;48.53;49.19;6538900;0.0;0
2019-10-22;49.48;50.0;49.36;49.82;10697300;0.0;0
2019-10-23;49.28;49.58;49.11;49.35;7118800;0.0;0
2019-10-24;49.67;50.22;49.41;50.12;7006600;0.0;0
2019-10-25;49.97;50.4;49.87;50.3;6303500;0.0;0
2019-10-28;50.56;50.64;50.22;50.48;7725400;0.0;0
2019-10-29;50.66;51.0;50.6;50.63;5303900;0.0;0
2019-10-30;50.95;51.21;50.73;51.07;5198100;0.0;0
2019-10-31;51.05;51.09;50.51;50.79;5140800;0.0;0
2019-11-01;51.05;51.25;50.86;51.25;5226600;0.0;0
2019-11-04;52.68;52.91;52.26;52.62;7233400;0.0;0
2019-11-05;52.76;53.09;52.62;52.68;5287100;0.0;0
2019-11-06;52.83;52.88;52.24;52.77;4545100;0.0;0
2019-11-07;53.02;53.49;52.65;52.8;7890900;0.0;0
2019-11-08;52.66;52.66;51.68;51.97;6558400;0.0;0
2019-11-11;51.54;51.89;51.31;51.74;4046500;0.0;0
2019-11-12;51.83;51.83;51.18;51.3;8625100;0.0;0
2019-11-13;51.72;52.08;51.3;52.02;5336200;0.0;0
2019-11-14;51.65;51.87;51.28;51.63;5308600;0.0;0
2019-11-15;52.15;52.52;52.02;52.42;5986400;0.0;0
2019-11-18;52.52;53.08;52.52;52.55;4774400;0.0;0
2019-11-19;53.17;53.26;52.81;52.89;4731100;0.0;0
2019-11-20;52.68;52.9;52.34;52.63;5264800;0.0;0
2019-11-21;52.63;52.64;52.08;52.12;6036700;0.0;0
2019-11-22;52.06;52.3;51.88;51.93;4172300;0.0;0
2019-11-25;52.23;53.06;51.94;52.89;5021500;0.0;0
2019-11-26;52.63;52.91;52.51;52.76;5672800;0.0;0
2019-11-27;53.15;53.18;52.67;53.01;2786100;0.0;0
2019-11-29;52.2;52.3;51.94;52.23;3391700;0.0;0
2019-12-02;52.68;52.72;51.92;52.12;4475800;0.0;0
2019-12-03;51.57;52.07;51.33;51.92;5468100;0.0;0
2019-12-04;52.4;52.7;52.25;52.31;3905200;0.0;0
2019-12-05;52.75;53.65;52.62;53.51;7624300;0.0;0
2019-12-06;53.61;54.13;53.61;54.05;5429100;0.0;0
2019-12-09;54.15;54.29;53.44;53.57;6541900;0.0;0
2019-12-10;53.79;54.16;53.45;53.63;4364800;0.0;0
2019-12-11;54.14;55.29;54.13;54.99;11028000;0.0;0
2019-12-12;56.32;57.67;56.09;57.66;15788700;0.0;0
2019-12-13;58.09;58.55;57.3;57.3;9886900;0.0;0
2019-12-16;57.34;57.74;57.34;57.59;5779400;0.0;0
2019-12-17;58.74;58.74;57.82;58.27;8407500;0.0;0
2019-12-18;58.63;58.67;57.76;58.14;10021200;0.0;0
2019-12-19;57.95;57.95;57.34;57.42;7228700;0.41;0
2019-12-20;57.24;57.75;56.78;57.39;8043800;0.0;0
2019-12-23;57.48;57.79;57.41;57.67;4022000;0.0;0
2019-12-24;57.44;57.54;57.01;57.22;2692200;0.0;0
2019-12-26;57.26;57.8;57.22;57.7;2490400;0.0;0
